Fanpage,Page_Id,Post_Id,Message,Type,Date,Reactions,Likes,Comments,Shares,Fans,Page,ER
European Commission,107898832590939,107898832590939_610869024411564,"27 EU countries, a shared history and cultural identity. European Heritage sites are milestones in the creation of today’s Europe: they celebrate and symbolise ideals, values and integration. Thanks to these sites, we can experience firsthand the richness and diversity of our cultural and creative expressions, inherited from the past and treasured for the future. Since 2013, the European Heritage Label has been assigned to sites for their symbolic value, the role they have played in European history and the activities they offer. These sites bring the European Union and its citizens closer together. Did you visit any of these places? Let us know in the comments! #EuropeanUnion",photo,2023-04-20 16:10:26 UTC,543,421,66,56,1400000,Facebook,0.038785714
European Commission,107898832590939,107898832590939_610337137798086,"In the EU, almost 90 million persons with disabilities face hurdles when travelling or moving abroad. It is high time we change it. And this is why we are working to introduce the European Disability Card. Thanks to it, card holders would be able to simply travel across our Union and benefit from the same conditions, easily accessing services in all the 27 EU countries. A consultation on the introduction of the European Disability Card is now open! Share your view ➡️ https://europa.eu/!8nDtfx The European Disability Card would help us strengthen our #UnionOfEquality. #EUHaveYourSay #EUDisabilityRights",photo,2023-04-20 09:30:01 UTC,866,543,155,168,1400000,Facebook,0.061857143
European Commission,107898832590939,107898832590939_610346697797130,"25 years ago, the leaders and people of Northern Ireland decided to plant a seed in soil previously stained with blood and tears. The seed of peace and possibility for new generations, which has been growing ever since. Today President von der Leyen, has traveled to Queen's University in Belfast to pay tribute to all those who planted that seed. To all the visionary leaders who believed that while history shapes people, people can also shape history. With the Belfast/Good Friday Agreement, leaders of Northern Ireland, Ireland and the United Kingdom put an end to decades of violence. We will continue to do our part and to accompany them on the path of peace and prosperity. The future of Northern Ireland belongs to its people. #GoodFridayAgreement #EuropeanUnion",photo,2023-04-19 18:29:47 UTC,2005,1588,211,206,1400000,Facebook,0.143214286
European Commission,107898832590939,107898832590939_609798154518651,"??‍?? Only 54% of people aged 16-74 have basic digital skills in Europe. We need to do much better on digital skills and treat them with the same importance as reading and writing. That's why we have adopted two proposals for Council Recommendations on key enabling factors for digital education and on improving the provision of digital skills. The proposals will encourage EU countries to: ?? create national strategies for digital education and skills, ?? invest in digital equipment, tools and content for educational institutions, ?? support the development of digital skills in all sectors and all levels. ?? We are also launching a pilot European Digital Skills Certificate to help people get their digital skills recognised across Europe! Together, let’s empower every European with the skills they need to succeed in the digital world. #EuropeanYearOfSkills #EUDigitalEducation",photo,2023-04-19 09:30:00 UTC,577,417,73,87,1400000,Facebook,0.041214286
European Commission,107898832590939,107898832590939_609774724520994,"We need to invest in and strengthen our cybersecurity capabilities. Today we proposed the Cyber Solidarity Act to reinforce the EU’s coordinated actions to detect, prepare for and effectively respond to growing cybersecurity threats and incidents. Our proposal introduces a: ??️ European Cyber Shield, an infrastructure of Security Operations Centres across the EU to detect and act on cyber threats ?? Cyber Emergency Mechanism to strengthen preparedness ??️ Cybersecurity Incident Review Mechanism to assess significant incidents We also presented a dedicated Academy to help increase the number of skilled cybersecurity professionals in the EU by bringing together existing initiatives on cybersecurity skills and making them available on an online platform. #DigitalEU #EuropeanUnion",photo,2023-04-18 18:12:52 UTC,583,439,105,39,1400000,Facebook,0.041642857
European Commission,107898832590939,107898832590939_200989942729702,In the last decades China has become an economic powerhouse and a key global player. It is now reducing its dependency on the world while increasing the world’s dependency on itself. We need to develop a new approach. Speech by President von der Leyen in the European Parliament.,video,2023-04-18 10:24:57 UTC,6864,4114,1982,768,1400000,Facebook,0.490285714
European Commission,107898832590939,107898832590939_609141104584356,"Solidarity brings light in dark hours ?? 169 generators arrived last week in Ukraine from Australia, coordinated via the #rescEU energy hub in Poland. To date, the EU has coordinated some 3,000 power generators to Ukraine via donations and own reserves. These generators range from smaller sizes, capable of powering single households, to much larger models that can keep vital services such as hospitals and central heating points running. We will #StandWithUkraine for as long as needed. ??© Minderoo Foundation",photo,2023-04-17 15:43:08 UTC,3359,2540,579,240,1400000,Facebook,0.239928571
European Commission,107898832590939,107898832590939_607471164751350,"?? Every life lost and serious injury on our roads is avoidable. To help reduce the number of accidents, last month we proposed new rules that will make roads safer and simplify everyday life. Among others: ?? a new EU-wide digital driving licence, ❌ zero-tolerance rule on drink-driving, ?? tougher cross-border enforcement rules, ?? measures to prepare drivers for today's micro-mobility, ??‍?? valuable driving experience for young and novice drivers. Our goal is to halve road fatalities and serious injuries by 2030 and have no deaths on EU roads by 2050. Our proposals will steer the wheel towards safer roads, for everyone. #RoadSafety #VisionZero",photo,2023-04-16 10:30:00 UTC,1694,1303,275,116,1400000,Facebook,0.121
European Commission,107898832590939,107898832590939_607333704765096,"Climate change is wreaking havoc around the world with wildfires, floods and tropical storms. We need to be one step ahead to protect our homes and loved ones from these devastating disasters. This is where the EU Civil Protection Mechanism comes in. Aiming to make the world safer, the Mechanism pools resources and expertise from all EU countries and beyond. This enables us to respond quickly and effectively to climate-related emergencies. See how we're making a difference in Madagascar through our EU-funded disaster risk reduction programme. Together, let's build a safer and more resilient future with #EUCivilProtection. #TogetherOneStepAhead #ClimateAction",video,2023-04-15 15:30:01 UTC,495,300,145,50,1400000,Facebook,0.035357143
European Commission,107898832590939,107898832590939_607410874757379,"Where is the EU? All around you In 30 years, the Cohesion Fund has invested almost€179 billion in bridges, railways and so many other projects across our Union. The Fund focuses on EU countries with a gross national income below 90% of the EU average to boost convergence between European economies. Among many others, the Cohesion Fund has helped build the: ???? rail track Koper-Divača ???? hydroelectric powerplant in the dam of Alqueva. ???? tramway extension in Bratislava ???? Warsaw metro What EU funded project have you seen in your region? #EuropeanUnion #EUFunds",photo,2023-04-15 10:30:00 UTC,1100,840,166,94,1400000,Facebook,0.078571429
